"scientificName","redlistCategory","corallite","branching","integration","budding","family","threat"
"Goniopora paliformis","Vulnerable",2.7,"NB",4,"extra","Poritidae","Not Threatened"
"Goniopora palmensis","Least Concern",2.4,"NB",4,"extra","Poritidae","Not Threatened"
"Goniopora pandoraensis","Least Concern",2.7,"MB",4,"extra","Poritidae","Not Threatened"
"Goniopora pearsoni","Least Concern",3.3,"NB",4,"extra","Poritidae","Not Threatened"
"Goniopora pedunculata","Near Threatened",2.5,"LB",4,"extra","Poritidae","Threatened"
"Goniopora pendulus","Least Concern",5.6,"NB",4,"extra","Poritidae","Not Threatened"
"Goniopora planulata","Vulnerable",3.1,"MB",4,"extra","Poritidae","Not Threatened"
"Goniopora savignyi","Least Concern",2.2,"MB",4,"extra","Poritidae","Not Threatened"
"Goniopora somaliensis","Least Concern",3.1,"LB",4,"extra","Poritidae","Not Threatened"
"Goniopora stokesi","Near Threatened",4.7,"MB",4,"extra","Poritidae","Threatened"
"Goniopora sultani","Least Concern",7.8,"MB",4,"extra","Poritidae","Not Threatened"
"Goniopora tenella","Near Threatened",2.9,"LB",4,"extra","Poritidae","Threatened"
"Gyrosmilia interrupta","Least Concern",8.1,"NB",6,"intra","Euphylliidae","Not Threatened"
"Halomitra clavator","Vulnerable",5.3,"NB",5,"intra","Fungiidae","Not Threatened"
"Halomitra pileus","Least Concern",4.8,"NB",5,"intra","Fungiidae","Not Threatened"
"Heliofungia actiniformis","Vulnerable",142,"NB",0,"intra","Fungiidae","Not Threatened"
"Helioseris cucullata","Least Concern",4.6,"LB",7,"intra","Agariciidae","Not Threatened"
"Herpolitha limax","Least Concern",370,"NB",5,"intra","Fungiidae","Not Threatened"
"Homophyllia australis","Least Concern",75,"NB",4,"intra","Lobophylliidae","Not Threatened"
"Homophyllia bowerbanki","Vulnerable",25,"NB",4,"intra","Lobophylliidae","Not Threatened"
"Horastrea indica","Vulnerable",7.3,"NB",4,"intra","Coscinaraeidae","Not Threatened"
"Hydnophora bonsai","Endangered",4.5,"LB",3,"intra","Merulinidae","Threatened"
"Hydnophora exesa","Near Threatened",4.5,"NB",3,"intra","Merulinidae","Threatened"
"Hydnophora grandis","Least Concern",4.7,"LB",3,"intra","Merulinidae","Not Threatened"
"Hydnophora microconos","Near Threatened",7.2,"NB",3,"intra","Merulinidae","Threatened"
"Hydnophora pilosa","Least Concern",8,"MB",3,"intra","Merulinidae","Not Threatened"
"Hydnophora rigida","Least Concern",6.7,"MB",3,"intra","Merulinidae","Not Threatened"
"Isophyllia rigida","Least Concern",9.2,"NB",5,"intra","Faviidae","Not Threatened"
"Isophyllia sinuosa","Least Concern",9.2,"NB",5,"intra","Faviidae","Not Threatened"
"Isopora brueggemanni","Vulnerable",1.6,"HB",3,"extra","Acroporidae","Not Threatened"
"Isopora crateriformis","Vulnerable",0.8,"LB",3,"extra","Acroporidae","Not Threatened"
"Isopora cuneata","Vulnerable",1,"LB",3,"extra","Acroporidae","Not Threatened"
"Isopora palifera","Near Threatened",1.4,"HB",3,"extra","Acroporidae","Threatened"
"Isopora togianensis","Endangered",1.2,"HB",3,"extra","Acroporidae","Threatened"
"Leptastrea aequalis","Vulnerable",2.8,"LB",4,"extra","Scleractinia incertae sedis","Not Threatened"
"Leptastrea bewickensis","Near Threatened",4.2,"LB",4,"extra","Scleractinia incertae sedis","Threatened"
"Leptastrea bottae","Near Threatened",3.5,"LB",4,"extra","Scleractinia incertae sedis","Threatened"
"Leptastrea inaequalis","Near Threatened",4.1,"NB",4,"extra","Scleractinia incertae sedis","Threatened"
"Leptastrea purpurea","Least Concern",3.6,"LB",4,"extra","Scleractinia incertae sedis","Not Threatened"
"Leptastrea transversa","Least Concern",9.2,"LB",4,"extra","Scleractinia incertae sedis","Not Threatened"
"Leptoria irregularis","Vulnerable",6.3,"LB",6,"intra","Merulinidae","Not Threatened"
"Leptoria phrygia","Near Threatened",3.5,"NB",6,"intra","Merulinidae","Threatened"
"Leptoseris amitoriensis","Near Threatened",3.7,"MB",5,"intra","Agariciidae","Threatened"
"Leptoseris cailleti","Least Concern",3.5,"MB",5,"intra","Agariciidae","Not Threatened"
"Leptoseris explanata","Least Concern",4,"MB",5,"intra","Agariciidae","Not Threatened"
"Leptoseris foliosa","Least Concern",1.4,"MB",5,"intra","Agariciidae","Not Threatened"
"Leptoseris gardineri","Least Concern",2.5,"MB",5,"intra","Agariciidae","Not Threatened"
"Leptoseris hawaiiensis","Vulnerable",4.4,"LB",5,"intra","Agariciidae","Not Threatened"
"Leptoseris mycetoseroides","Least Concern",4.4,"MB",5,"intra","Agariciidae","Not Threatened"
"Leptoseris papyracea","Least Concern",4.4,"MB",5,"intra","Agariciidae","Not Threatened"
"Leptoseris scabra","Least Concern",6.3,"LB",5,"intra","Agariciidae","Not Threatened"
"Leptoseris solida","Least Concern",3.8,"LB",5,"intra","Agariciidae","Not Threatened"
"Leptoseris striata","Near Threatened",4,"LB",5,"intra","Agariciidae","Threatened"
"Leptoseris tubulifera","Least Concern",2.5,"LB",5,"intra","Agariciidae","Not Threatened"
"Leptoseris yabei","Vulnerable",3.7,"MB",5,"intra","Agariciidae","Not Threatened"
"Lithophyllon concinna","Least Concern",160,"NB",5,"intra","Fungiidae","Not Threatened"
"Lithophyllon repanda","Least Concern",150,"NB",5,"intra","Fungiidae","Not Threatened"
"Lithophyllon scabra","Least Concern",78,"NB",5,"intra","Fungiidae","Not Threatened"
"Lithophyllon spinifer","Least Concern",118,"NB",5,"intra","Fungiidae","Not Threatened"
"Lithophyllon undulatum","Near Threatened",5.1,"LB",5,"intra","Fungiidae","Threatened"
"Lobactis scutaria","Least Concern",169,"NB",5,"intra","Fungiidae","Not Threatened"
"Lobophyllia agaricia","Least Concern",33.5,"NB",2,"intra","Lobophylliidae","Not Threatened"
"Lobophyllia corymbosa","Least Concern",47.5,"NB",2,"intra","Lobophylliidae","Not Threatened"
"Lobophyllia dentata","Vulnerable",32.6,"NB",2,"intra","Lobophylliidae","Not Threatened"
"Lobophyllia diminuta","Vulnerable",42.5,"NB",2,"intra","Lobophylliidae","Not Threatened"
"Lobophyllia erythraea","Least Concern",17.5,"NB",2,"intra","Lobophylliidae","Not Threatened"
"Lobophyllia flabelliformis","Vulnerable",59.5,"NB",2,"intra","Lobophylliidae","Not Threatened"
"Lobophyllia hassi","Vulnerable",20,"NB",2,"intra","Lobophylliidae","Not Threatened"
"Lobophyllia hataii","Least Concern",30,"NB",2,"intra","Lobophylliidae","Not Threatened"
"Lobophyllia hemprichii","Least Concern",26.8,"NB",2,"intra","Lobophylliidae","Not Threatened"
"Lobophyllia radians","Least Concern",35,"NB",2,"intra","Lobophylliidae","Not Threatened"
"Lobophyllia recta","Least Concern",9,"NB",2,"intra","Lobophylliidae","Not Threatened"
"Lobophyllia robusta","Least Concern",47.5,"NB",2,"intra","Lobophylliidae","Not Threatened"
"Lobophyllia rowleyensis","Near Threatened",8.5,"NB",2,"intra","Lobophylliidae","Threatened"
"Lobophyllia serrata","Endangered",40.2,"NB",2,"intra","Lobophylliidae","Threatened"
"Lobophyllia valenciennesii","Least Concern",35,"LB",2,"intra","Lobophylliidae","Not Threatened"
"Lobophyllia vitiensis","Near Threatened",70,"NB",2,"intra","Lobophylliidae","Threatened"
"Madracis decactis","Least Concern",2.2,"LB",3,"extra","Pocilloporidae","Not Threatened"
"Madracis formosa","Least Concern",1.6,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Madracis kirbyi","Least Concern",2.6,"LB",3,"extra","Pocilloporidae","Not Threatened"
"Madracis senaria","Least Concern",1.8,"LB",3,"extra","Pocilloporidae","Not Threatened"
"Manicina areolata","Least Concern",8.8,"NB",7,"intra","Faviidae","Not Threatened"
"Meandrina braziliensis","Data Deficient",13.3,"NB",6,"intra","Meandrinidae","Data Deficient"
"Meandrina meandrites","Least Concern",13.5,"NB",6,"intra","Meandrinidae","Not Threatened"
"Merulina ampliata","Least Concern",6.2,"MB",6,"intra","Merulinidae","Not Threatened"
"Merulina cylindrica","Least Concern",3.8,"MB",6,"intra","Merulinidae","Not Threatened"
"Merulina scabricula","Least Concern",3.5,"MB",6,"intra","Merulinidae","Not Threatened"
"Merulina scheeri","Least Concern",8.2,"LB",6,"intra","Merulinidae","Not Threatened"
"Merulina triangularis","Near Threatened",8.8,"MB",6,"intra","Merulinidae","Threatened"
"Micromussa amakusensis","Near Threatened",5.7,"LB",3,"both","Lobophylliidae","Threatened"
"Micromussa lordhowensis","Near Threatened",7.5,"NB",3,"both","Lobophylliidae","Threatened"
"Micromussa multipunctata","Vulnerable",9.3,"LB",3,"both","Lobophylliidae","Not Threatened"
"Montigyra kenti","Data Deficient",32,"NB",5,"intra","Euphylliidae","Data Deficient"
"Montipora aequituberculata","Least Concern",0.9,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora altasepta","Vulnerable",0.8,"HB",3,"extra","Acroporidae","Not Threatened"
"Montipora angulata","Vulnerable",1.3,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora aspergillus","Data Deficient",0.8,"MB",3,"extra","Acroporidae","Data Deficient"
"Montipora australiensis","Vulnerable",0.9,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora cactus","Vulnerable",1.2,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora calcarea","Vulnerable",0.9,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora caliculata","Vulnerable",1,"NB",3,"extra","Acroporidae","Not Threatened"
"Montipora capitata","Near Threatened",1,"LB",3,"extra","Acroporidae","Threatened"
"Montipora capricornis","Vulnerable",1,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora cebuensis","Vulnerable",0.8,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora circumvallata","Least Concern",0.6,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora cocosensis","Vulnerable",1.4,"NB",3,"extra","Acroporidae","Not Threatened"
"Montipora confusa","Near Threatened",0.7,"LB",3,"extra","Acroporidae","Threatened"
"Montipora corbettensis","Vulnerable",0.8,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora crassituberculata","Vulnerable",1.5,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora cryptus","Near Threatened",0.7,"LB",3,"extra","Acroporidae","Threatened"
"Montipora danae","Least Concern",1.4,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora delicatula","Vulnerable",0.6,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora digitata","Least Concern",0.9,"HB",3,"extra","Acroporidae","Not Threatened"
"Montipora dilatata","Endangered",1.2,"LB",3,"extra","Acroporidae","Threatened"
"Montipora efflorescens","Near Threatened",1.2,"NB",3,"extra","Acroporidae","Threatened"
"Montipora effusa","Near Threatened",0.8,"NB",3,"extra","Acroporidae","Threatened"
"Montipora flabellata","Vulnerable",0.2,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora florida","Vulnerable",0.8,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora floweri","Least Concern",0.9,"NB",3,"extra","Acroporidae","Not Threatened"
"Montipora foliosa","Near Threatened",0.9,"MB",3,"extra","Acroporidae","Threatened"
"Montipora foveolata","Near Threatened",2.9,"NB",3,"extra","Acroporidae","Threatened"
"Montipora friabilis","Vulnerable",1,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora gaimardi","Vulnerable",0.8,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora grisea","Least Concern",1.2,"NB",3,"extra","Acroporidae","Not Threatened"
"Montipora hemispherica","Data Deficient",0.9,"LB",3,"extra","Acroporidae","Data Deficient"
"Montipora hispida","Near Threatened",1.4,"LB",3,"extra","Acroporidae","Threatened"
"Montipora hodgsoni","Vulnerable",0.6,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora hoffmeisteri","Least Concern",1.1,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora incrassata","Near Threatened",1.4,"LB",3,"extra","Acroporidae","Threatened"
"Montipora informis","Least Concern",1.3,"NB",3,"extra","Acroporidae","Not Threatened"
"Montipora kellyi","Data Deficient",0.9,"MB",3,"extra","Acroporidae","Data Deficient"
"Montipora lobulata","Vulnerable",1.3,"NB",3,"extra","Acroporidae","Not Threatened"
"Montipora mactanensis","Vulnerable",0.9,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora malampaya","Vulnerable",0.7,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora meandrina","Vulnerable",0.9,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora millepora","Least Concern",8,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora mollis","Least Concern",0.9,"NB",3,"extra","Acroporidae","Not Threatened"
"Montipora monasteriata","Least Concern",1.1,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora niugini","Near Threatened",0.7,"LB",3,"extra","Acroporidae","Threatened"
"Montipora nodosa","Near Threatened",1.3,"NB",3,"extra","Acroporidae","Threatened"
"Montipora orientalis","Vulnerable",1,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora pachytuberculata","Data Deficient",0.6,"MB",3,"extra","Acroporidae","Data Deficient"
"Montipora palawanensis","Near Threatened",0.7,"MB",3,"extra","Acroporidae","Threatened"
"Montipora patula","Vulnerable",0.7,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora peltiformis","Near Threatened",0.9,"NB",3,"extra","Acroporidae","Threatened"
"Montipora porites","Near Threatened",0.9,"LB",3,"extra","Acroporidae","Threatened"
"Montipora samarensis","Vulnerable",0.7,"HB",3,"extra","Acroporidae","Not Threatened"
"Montipora saudii","Near Threatened",0.8,"LB",3,"extra","Acroporidae","Threatened"
"Montipora setosa","Endangered",0.8,"LB",3,"extra","Acroporidae","Threatened"
"Montipora spongiosa","Least Concern",0.8,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora spongodes","Least Concern",1.2,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora spumosa","Least Concern",0.9,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora stellata","Least Concern",0.9,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora stilosa","Vulnerable",0.8,"NB",3,"extra","Acroporidae","Not Threatened"
"Montipora taiwanensis","Data Deficient",0.9,"NB",3,"extra","Acroporidae","Data Deficient"
"Montipora tuberculosa","Vulnerable",1.1,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora turgescens","Least Concern",1,"NB",3,"extra","Acroporidae","Not Threatened"
"Montipora turtlensis","Vulnerable",0.9,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora undata","Near Threatened",1.2,"MB",3,"extra","Acroporidae","Threatened"
"Montipora venosa","Near Threatened",1.8,"NB",3,"extra","Acroporidae","Threatened"
"Montipora verrilli","Data Deficient",0.8,"LB",3,"extra","Acroporidae","Data Deficient"
"Montipora verrucosa","Least Concern",1.4,"MB",3,"extra","Acroporidae","Not Threatened"
"Montipora verruculosa","Vulnerable",0.8,"LB",3,"extra","Acroporidae","Not Threatened"
"Montipora vietnamensis","Vulnerable",0.7,"LB",3,"extra","Acroporidae","Not Threatened"
"Moseleya latistellata","Vulnerable",73,"NB",4,"both","Lobophylliidae","Not Threatened"
"Mussa angulosa","Least Concern",60,"NB",7,"intra","Faviidae","Not Threatened"
"Mussismilia braziliensis","Data Deficient",6.6,"NB",3,"intra","Faviidae","Data Deficient"
"Mussismilia harttii","Data Deficient",20,"NB",3,"intra","Faviidae","Data Deficient"
"Mussismilia hispida","Data Deficient",20.5,"NB",3,"intra","Faviidae","Data Deficient"
"Mussismilia leptophylla","Data Deficient",5,"NB",3,"intra","Faviidae","Data Deficient"
"Mycedium elephantotus","Least Concern",7.5,"MB",5,"intra","Merulinidae","Not Threatened"
"Mycedium mancaoi","Least Concern",7.2,"MB",5,"intra","Merulinidae","Not Threatened"
"Mycedium robokaki","Least Concern",7.2,"MB",5,"intra","Merulinidae","Not Threatened"
"Mycedium steeni","Vulnerable",3.1,"MB",5,"intra","Merulinidae","Not Threatened"
"Mycedium umbra","Least Concern",8.3,"LB",5,"intra","Merulinidae","Not Threatened"
"Mycetophyllia aliciae","Least Concern",20,"NB",5,"both","Faviidae","Not Threatened"
"Mycetophyllia danaana","Least Concern",13.8,"LB",5,"both","Faviidae","Not Threatened"
"Mycetophyllia ferox","Vulnerable",7.7,"MB",5,"both","Faviidae","Not Threatened"
"Mycetophyllia lamarckiana","Least Concern",18.5,"LB",5,"both","Faviidae","Not Threatened"
"Mycetophyllia reesi","Data Deficient",7.9,"MB",5,"both","Faviidae","Data Deficient"
"Nemenzophyllia turbida","Vulnerable",7.5,"NB",5,"intra","Plerogyridae","Not Threatened"
"Oculina patagonica","Least Concern",3.3,"MB",1,"intra","Oculinidae","Not Threatened"
"Oculina robusta","Data Deficient",3.7,"HB",1,"intra","Oculinidae","Data Deficient"
"Oculina valenciennesi","Data Deficient",2.7,"MB",1,"intra","Oculinidae","Data Deficient"
"Orbicella annularis","Endangered",3.8,"NB",3,"extra","Merulinidae","Threatened"
"Oulastrea crispata","Least Concern",5.6,"LB",3,"both","Oulastreidae","Not Threatened"
"Oulophyllia bennettae","Near Threatened",17.4,"NB",5,"intra","Merulinidae","Threatened"
"Oulophyllia crispa","Near Threatened",7,"NB",5,"intra","Merulinidae","Threatened"
"Oulophyllia levis","Least Concern",8.6,"NB",5,"intra","Merulinidae","Not Threatened"
"Oxypora convoluta","Data Deficient",7.3,"MB",5,"intra","Lobophylliidae","Data Deficient"
"Oxypora crassispinosa","Least Concern",8.8,"MB",5,"intra","Lobophylliidae","Not Threatened"
"Oxypora echinata","Least Concern",12.9,"MB",5,"intra","Lobophylliidae","Not Threatened"
"Oxypora egyptensis","Data Deficient",11.3,"NB",5,"intra","Lobophylliidae","Data Deficient"
"Oxypora lacera","Least Concern",8.8,"MB",5,"intra","Lobophylliidae","Not Threatened"
"Pachyseris foliosa","Least Concern",6.3,"MB",6,"intra","Scleractinia incertae sedis","Not Threatened"
"Pachyseris gemmae","Near Threatened",3.3,"MB",6,"intra","Scleractinia incertae sedis","Threatened"
"Pachyseris involuta","Vulnerable",4.1,"MB",6,"intra","Scleractinia incertae sedis","Not Threatened"
"Pachyseris rugosa","Vulnerable",4.8,"MB",6,"intra","Scleractinia incertae sedis","Not Threatened"
"Pachyseris speciosa","Least Concern",4.6,"MB",6,"intra","Scleractinia incertae sedis","Not Threatened"
"Palauastrea ramosa","Near Threatened",1.2,"MB",3,"extra","Astrocoeniidae","Threatened"
"Paragoniastrea australensis","Least Concern",8.5,"NB",7,"intra","Merulinidae","Not Threatened"
"Paragoniastrea deformis","Vulnerable",8.8,"NB",7,"intra","Merulinidae","Not Threatened"
"Paragoniastrea russelli","Near Threatened",6,"NB",7,"intra","Merulinidae","Threatened"
"Paramontastraea peresi","Near Threatened",5,"NB",3,"extra","Merulinidae","Threatened"
"Paramontastraea salebrosa","Vulnerable",4.7,"NB",3,"extra","Merulinidae","Not Threatened"
"Paramontastraea serageldini","Vulnerable",5,"NB",3,"extra","Merulinidae","Not Threatened"
"Pavona bipartita","Vulnerable",3.1,"NB",5,"intra","Agariciidae","Not Threatened"
"Pavona cactus","Vulnerable",1.4,"LB",5,"intra","Agariciidae","Not Threatened"
"Pavona clavus","Least Concern",3.4,"MB",5,"intra","Agariciidae","Not Threatened"
"Pavona decussata","Vulnerable",3.5,"LB",5,"intra","Agariciidae","Not Threatened"
"Pavona diffluens","Vulnerable",2.6,"NB",5,"intra","Agariciidae","Not Threatened"
"Pavona duerdeni","Least Concern",2.1,"NB",5,"intra","Agariciidae","Not Threatened"
"Pavona explanulata","Least Concern",3,"MB",5,"intra","Agariciidae","Not Threatened"
"Pavona frondifera","Least Concern",2.6,"LB",5,"intra","Agariciidae","Not Threatened"
"Pavona gigantea","Least Concern",5.7,"NB",5,"intra","Agariciidae","Not Threatened"
"Pavona maldivensis","Least Concern",4.1,"MB",5,"intra","Agariciidae","Not Threatened"
"Pavona minuta","Near Threatened",3.3,"NB",5,"intra","Agariciidae","Threatened"
"Pavona varians","Least Concern",9.3,"LB",5,"intra","Agariciidae","Not Threatened"
"Pavona venosa","Vulnerable",9.3,"LB",5,"intra","Agariciidae","Not Threatened"
"Pectinia africana","Vulnerable",16.6,"NB",5,"intra","Merulinidae","Not Threatened"
"Pectinia alcicornis","Vulnerable",21.2,"LB",5,"intra","Merulinidae","Not Threatened"
"Pectinia elongata","Near Threatened",7.5,"MB",5,"intra","Merulinidae","Threatened"
"Pectinia lactuca","Vulnerable",30,"LB",5,"intra","Merulinidae","Not Threatened"
"Pectinia maxima","Endangered",7.5,"MB",5,"intra","Merulinidae","Threatened"
"Pectinia paeonia","Near Threatened",35,"MB",5,"intra","Merulinidae","Threatened"
"Pectinia pygmaea","Near Threatened",4.7,"MB",5,"intra","Merulinidae","Threatened"
"Pectinia teres","Near Threatened",6.2,"MB",5,"intra","Merulinidae","Threatened"
"Physogyra lichtensteini","Vulnerable",6,"NB",5,"intra","Plerogyridae","Not Threatened"
"Physophyllia ayleni","Near Threatened",15,"MB",5,"intra","Merulinidae","Threatened"
"Platygyra acuta","Near Threatened",5.2,"NB",6,"intra","Merulinidae","Threatened"
"Platygyra carnosa","Near Threatened",5,"NB",6,"intra","Merulinidae","Threatened"
"Platygyra contorta","Least Concern",5.6,"NB",6,"intra","Merulinidae","Not Threatened"
"Platygyra crosslandi","Near Threatened",5.9,"NB",6,"intra","Merulinidae","Threatened"
"Platygyra daedalea","Least Concern",5.8,"NB",6,"intra","Merulinidae","Not Threatened"
"Platygyra lamellina","Near Threatened",9.1,"NB",6,"intra","Merulinidae","Threatened"
"Platygyra pini","Least Concern",7.2,"NB",6,"intra","Merulinidae","Not Threatened"
"Platygyra ryukyuensis","Near Threatened",3.3,"NB",6,"intra","Merulinidae","Threatened"
"Platygyra sinensis","Least Concern",6.7,"NB",6,"intra","Merulinidae","Not Threatened"
"Platygyra verweyi","Near Threatened",4.7,"NB",6,"intra","Merulinidae","Threatened"
"Plerogyra discus","Vulnerable",20.8,"NB",7,"intra","Plerogyridae","Not Threatened"
"Plerogyra simplex","Near Threatened",20,"MB",7,"intra","Plerogyridae","Threatened"
"Plerogyra sinuosa","Near Threatened",30,"NB",7,"intra","Plerogyridae","Threatened"
"Plesiastrea versipora","Least Concern",4.6,"NB",3,"extra","Plesiastreidae","Not Threatened"
"Pleuractis granulosa","Least Concern",120,"NB",0,"","Fungiidae","Not Threatened"
"Pleuractis moluccensis","Least Concern",160,"NB",0,"","Fungiidae","Not Threatened"
"Pleuractis paumotensis","Least Concern",235,"NB",0,"","Fungiidae","Not Threatened"
"Pleuractis seychellensis","Vulnerable",88.8,"NB",0,"","Fungiidae","Not Threatened"
"Pleuractis taiwanensis","Vulnerable",193,"NB",0,"","Fungiidae","Not Threatened"
"Pocillopora ankeli","Vulnerable",1,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Pocillopora capitata","Least Concern",0.4,"HB",3,"extra","Pocilloporidae","Not Threatened"
"Pocillopora damicornis","Least Concern",1,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Pocillopora effusa","Data Deficient",1.1,"HB",3,"extra","Pocilloporidae","Data Deficient"
"Pocillopora elegans","Vulnerable",1,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Pocillopora fungiformis","Endangered",0.8,"LB",3,"extra","Pocilloporidae","Threatened"
"Pocillopora grandis","Near Threatened",1,"HB",3,"extra","Pocilloporidae","Threatened"
"Pocillopora indiania","Vulnerable",1.2,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Pocillopora inflata","Vulnerable",1,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Pocillopora kelleheri","Least Concern",1.2,"HB",3,"extra","Pocilloporidae","Not Threatened"
"Pocillopora ligulata","Least Concern",0.8,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Pocillopora meandrina","Least Concern",0.7,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Pocillopora molokensis","Data Deficient",1.3,"MB",3,"extra","Pocilloporidae","Data Deficient"
"Pocillopora verrucosa","Vulnerable",1.2,"HB",3,"extra","Pocilloporidae","Not Threatened"
"Pocillopora woodjonesi","Least Concern",1.1,"HB",3,"extra","Pocilloporidae","Not Threatened"
"Pocillopora zelli","Least Concern",1.2,"HB",3,"extra","Pocilloporidae","Not Threatened"
"Podabacia crustacea","Least Concern",3,"LB",5,"intra","Fungiidae","Not Threatened"
"Podabacia motuporensis","Near Threatened",2.8,"LB",5,"intra","Fungiidae","Threatened"
"Podabacia sinai","Data Deficient",2.7,"MB",5,"intra","Fungiidae","Data Deficient"
"Porites annae","Near Threatened",1.1,"LB",4,"extra","Poritidae","Threatened"
"Porites aranetai","Vulnerable",1,"LB",4,"extra","Poritidae","Not Threatened"
"Porites arnaudi","Least Concern",1.1,"MB",4,"extra","Poritidae","Not Threatened"
"Porites astreoides","Least Concern",1.6,"NB",4,"extra","Poritidae","Not Threatened"
"Porites attenuata","Vulnerable",2.1,"MB",4,"extra","Poritidae","Not Threatened"
"Porites australiensis","Least Concern",1.4,"NB",4,"extra","Poritidae","Not Threatened"
"Porites branneri","Near Threatened",1.8,"LB",4,"extra","Poritidae","Threatened"
"Porites brighami","Least Concern",1.5,"NB",4,"extra","Poritidae","Not Threatened"
"Porites cocosensis","Vulnerable",1.5,"LB",4,"extra","Poritidae","Not Threatened"
"Porites colonensis","Data Deficient",2,"MB",4,"extra","Poritidae","Data Deficient"
"Porites columnaris","Least Concern",1.5,"MB",4,"extra","Poritidae","Not Threatened"
"Porites compressa","Least Concern",1.6,"LB",4,"extra","Poritidae","Not Threatened"
"Porites cumulatus","Vulnerable",1.1,"MB",4,"extra","Poritidae","Not Threatened"
"Porites cylindrica","Near Threatened",1.1,"LB",4,"extra","Poritidae","Threatened"
"Porites deformis","Near Threatened",1.6,"LB",4,"extra","Poritidae","Threatened"
"Porites densa","Near Threatened",1.3,"NB",4,"extra","Poritidae","Threatened"
"Porites desilveri","Endangered",1,"LB",4,"extra","Poritidae","Threatened"
"Porites divaricata","Least Concern",1.6,"HB",4,"extra","Poritidae","Not Threatened"
"Porites echinulata","Near Threatened",2.1,"MB",4,"extra","Poritidae","Threatened"
"Porites eridani","Endangered",0.8,"LB",4,"extra","Poritidae","Threatened"
"Porites evermanni","Data Deficient",1,"MB",4,"extra","Poritidae","Data Deficient"
"Porites flavus","Data Deficient",0.7,"MB",4,"extra","Poritidae","Data Deficient"
"Porites furcata","Least Concern",1.9,"HB",4,"extra","Poritidae","Not Threatened"
"Porites harrisoni","Near Threatened",1.1,"MB",4,"extra","Poritidae","Threatened"
"Porites heronensis","Least Concern",1.5,"MB",4,"extra","Poritidae","Not Threatened"
"Porites horizontalata","Vulnerable",1.7,"LB",4,"extra","Poritidae","Not Threatened"
"Porites latistellata","Least Concern",1.4,"LB",4,"extra","Poritidae","Not Threatened"
"Porites lichen","Least Concern",1.4,"MB",4,"extra","Poritidae","Not Threatened"
"Porites lobata","Near Threatened",1.1,"NB",4,"extra","Poritidae","Threatened"
"Porites lutea","Least Concern",1.3,"NB",4,"extra","Poritidae","Not Threatened"
"Porites mayeri","Least Concern",1.6,"NB",4,"extra","Poritidae","Not Threatened"
"Porites monticulosa","Least Concern",1.2,"LB",4,"extra","Poritidae","Not Threatened"
"Porites murrayensis","Near Threatened",1,"NB",4,"extra","Poritidae","Threatened"
"Porites myrmidonensis","Least Concern",1.4,"NB",4,"extra","Poritidae","Not Threatened"
"Porites napopora","Vulnerable",0.9,"LB",4,"extra","Poritidae","Not Threatened"
"Porites negrosensis","Near Threatened",1.7,"MB",4,"extra","Poritidae","Threatened"
"Porites nigrescens","Vulnerable",1.6,"MB",4,"extra","Poritidae","Not Threatened"
